,Country,Slope,Intercept,Label
0,Afghanistan,40.24874914559125,-801.497894736842,0
1,Albania,15.730981340182824,-88.54204124801703,0
2,Algeria,73.32002844950213,-1214.9610810810811,0
3,Andorra,14.73131165509682,-100.47996589940317,0
4,Angola,0.7639819004524887,-0.6870588235294122,0
5,Antigua and Barbuda,0.5321295641207051,-0.1288566243194218,0
6,Argentina,88.89830896667554,-1155.6093064091297,0
7,Armenia,41.9613157204094,-569.4409937888195,0
8,Australia,90.34945054945055,-2063.3875457875456,0
9,Austria,284.67869132290184,-2243.6169369369363,1
10,Azerbaijan,37.022255270754954,-513.7614906832293,0
11,Bahamas,1.9495670995670997,-9.787878787878796,0
12,Bahrain,53.525809979494184,-862.7305263157893,0
13,Bangladesh,182.82032450076807,-3160.8535586277526,0
14,Barbados,1.6167333714503522,12.299091544374576,0
15,Belarus,260.5476879542093,-5116.37949921753,1
16,Belgium,635.0047816060771,-14769.742324561406,1
17,Benin,2.637157287157288,-28.93131313131316,0
18,Bhutan,0.11625874125874128,0.40961538461538405,0
19,Bolivia,32.647763267574334,-463.6067796610172,0
20,Bosnia and Herzegovina,36.07320738962529,-393.9524475524472,0
21,Brazil,1619.047463902258,-31441.57719363197,2
22,Brunei,1.78975598700612,56.99365415124271,0
23,Bulgaria,31.11098310291859,-283.0276497695853,0
24,Burkina Faso,14.151084082496032,-54.896721311475346,0
25,Cabo Verde,4.285610859728506,-49.719999999999985,0
26,Cambodia,1.7068067854475621,-32.491971620612404,0
27,Cameroon,39.28173076923077,-514.2817307692308,0
28,Canada,599.1503006427533,-16997.05164835164,1
29,Central African Republic,1.6535543403964459,-23.108441558441566,0
30,Chad,3.5222829334926997,-46.59049773755655,0
31,Chile,357.39218231095157,-5260.000877963123,1
32,China,637.2916041145398,33230.29204892966,1
33,Colombia,148.4979020979021,-2051.8153846153846,0
34,Congo (Brazzaville),5.662235133287765,-58.67727272727272,0
35,Congo (Kinshasa),13.987051958877469,-157.37175141242943,0
36,Costa Rica,14.457561188811185,-52.08413461538453,0
37,Cote d'Ivoire,30.196221172547936,-332.15141242937864,0
38,Croatia,38.23055476529159,-451.014414414414,0
39,Diamond Princess,3.863388141207363,461.5605423094905,0
40,Cuba,35.799649327878434,-370.0064289888953,0
41,Cyprus,18.097076376822546,-88.84822845055538,0
42,Czechia,148.58584550782953,-1258.3689440993767,0
43,Denmark,170.91743798593112,-1853.4520547945194,0
44,Djibouti,29.458071278825994,-294.49999999999994,0
45,Dominican Republic,141.70293062724167,-2190.9254658385075,0
46,Ecuador,466.2653136208554,-7912.447204968939,1
47,Egypt,84.3149016463041,-1852.3726402188795,0
48,El Salvador,13.00431144881755,-136.05656108597276,0
49,Equatorial Guinea,7.667669172932331,-105.52857142857144,0
50,Eritrea,0.8099399759903961,8.206530612244897,0
51,Estonia,30.89050351721586,-268.61986301369916,0
52,Eswatini,2.3598003629764066,-31.995614035087726,0
53,Ethiopia,3.3321234119782215,-25.81488203266788,0
54,Fiji,0.3678391530777767,3.194570135746609,0
55,Finland,60.15812180875428,-1510.1432731508453,0
56,France,1947.6524814357647,-52088.11250220419,2
57,Gabon,8.315206118745138,-116.86027568922306,0
58,Gambia,0.32342290832856874,-1.0607966457023066,0
59,Georgia,9.559585338763421,-136.3898556090337,0
60,Germany,2053.0594580177108,-49717.79462285289,2
61,Ghana,56.56293751620431,-737.1322055137845,0
62,Greece,46.50413920770083,-370.93224731580835,0
63,Guatemala,15.694646098003629,-197.7763157894737,0
64,Guinea,35.73364299117167,-500.29764065335746,0
65,Guyana,1.832554061952075,-12.46814728229107,0
66,Haiti,2.4422624434389144,-15.518431372549031,0
67,Holy See,0.19322552447552452,-0.09951923076923208,0
68,Honduras,23.565879410947495,-282.2259887005652,0
69,Hungary,56.417671003272396,-725.2903663500674,0
70,Iceland,33.22067335519969,-134.262910798122,0
71,India,410.46957483983687,-11972.720594059403,1
72,Indonesia,203.4633175009134,-2988.534953111679,0
73,Iran,1563.4880081300819,-18581.62561728398,2
74,Iraq,37.2377990430622,-504.5368421052632,0
75,Ireland,389.34996646545966,-5757.824144869224,1
76,Israel,276.20932327166497,-4210.132424537485,1
77,Italy,2718.7207980798084,-56717.350303030325,3
78,Jamaica,9.037593776048904,-114.86327683615824,0
79,Japan,144.81169493096098,-4124.046890927624,0
80,Jordan,8.880635187235178,-33.587796312554815,0
81,Kazakhstan,85.24144083176968,-1021.6569872958264,0
82,Kenya,10.644129318035004,-99.72595281306712,0
83,"Korea, South",136.31293670651468,-1351.862895005096,0
84,Kuwait,74.46863978127134,-1440.1873684210516,0
85,Kyrgyzstan,19.76132881793259,-128.97097242380255,0
86,Latvia,16.492546583850935,-120.64492753623199,0
87,Lebanon,12.49985394352483,-108.15871470301846,0
88,Liberia,3.9261904761904773,-43.35151515151519,0
89,Liechtenstein,1.446524064171123,7.579375848032569,0
90,Lithuania,27.096646086565052,-295.8748043818466,0
91,Luxembourg,72.6681086519115,-488.0096579476872,0
92,Madagascar,3.296108597285068,9.732549019607845,0
93,Malaysia,74.52819608534648,-1812.3245283018855,0
94,Maldives,8.869527649769585,-152.74551971326164,0
95,Malta,9.469024725274727,-40.10267857142861,0
96,Mauritania,0.12950479647394347,1.893483709273183,0
97,Mauritius,6.887276245766812,54.47750362844701,0
98,Mexico,374.85174287735543,-7055.658059467917,1
99,Moldova,85.52481758832565,-1078.3020993343573,0
100,Monaco,1.8398390342052324,-11.360965794768653,0
101,Mongolia,0.7757271285034372,-2.785245901639339,0
102,Montenegro,6.973013150371639,26.742138364779947,0
103,Morocco,89.87573986116182,-1367.7523444160258,0
104,Namibia,0.2650375939849624,4.822681704260652,0
105,Nepal,0.6443106531979745,-18.942318059299183,0
106,Netherlands,732.8538504257682,-9014.441780821915,1
107,New Zealand,29.336581130619333,-294.4518779342724,0
108,Nicaragua,0.30914368650217694,0.2692307692307736,0
109,Niger,19.64859728506787,-77.62823529411753,0
110,Nigeria,39.51927776705898,-776.4397496087638,0
111,North Macedonia,26.757275083302478,-389.43835616438344,0
112,Norway,137.21066271751204,-776.8052573121067,0
113,Oman,39.89444976076554,-759.7389473684206,0
114,Pakistan,315.82677526841906,-5760.058126619769,1
115,Panama,149.1199365415124,-1547.7180327868846,0
116,Papua New Guinea,0.1996380090497738,-0.8180392156862757,0
117,Paraguay,7.564036098310292,-88.22375832053251,0
118,Peru,844.8163024475524,-14243.04567307692,1
119,Philippines,103.77619103086779,-2691.288712871287,0
120,Poland,264.7785936627025,-3317.875169606512,1
121,Portugal,494.58765071245887,-5505.046035805628,1
122,Qatar,251.56767270288412,-4501.872837022138,1
123,Romania,225.76610144390966,-3573.472047389856,0
124,Russia,1224.2140834083414,-36371.261212121244,2
125,Rwanda,5.039862587503241,-19.471804511278194,0
126,Saint Lucia,0.3213637542131189,2.399749373433586,0
127,Saint Vincent and the Grenadines,0.36440238527352864,-1.848370927318296,0
128,San Marino,9.601567320745403,-68.66894977168948,0
129,Saudi Arabia,459.00186335403714,-8121.978260869561,1
130,Senegal,19.207307270734375,-302.6905370843988,0
131,Serbia,187.8083916083916,-2466.246153846153,0
132,Seychelles,0.12451387088410684,5.7750626566416035,0
133,Singapore,149.88957005535067,-4665.1019383869825,0
134,Slovakia,28.156818181818185,-243.9596153846154,0
135,Slovenia,26.196660056361537,4.396736596737014,0
136,Somalia,17.007792207792214,-246.1454545454547,0
137,South Africa,124.0205824026719,-1632.9622377622359,0
138,Spain,2899.684131106989,-64655.883323026195,3
139,Sri Lanka,6.7148084924783955,-184.16206123973117,0
140,Sudan,13.73176658771417,-227.63883847549903,0
141,Suriname,0.13410681877106556,4.496867167919801,0
142,Sweden,250.56000600060017,-6316.610303030309,1
143,Switzerland,538.2610810810812,-4546.5077477477535,1
144,Taiwan*,5.302465017143917,-104.80071355759438,0
145,Tanzania,10.697979797979801,-133.7979797979799,0
146,Thailand,35.89736817718469,-887.0891946992863,0
147,Togo,2.389291958041958,-20.75432692307691,0
148,Trinidad and Tobago,1.9102929738138452,34.355889724310764,0
149,Tunisia,20.04916593503073,-163.6865671641791,0
150,Turkey,2805.812170047236,-30159.037853107373,3
151,Uganda,1.83015606242497,10.991020408163266,0
152,Ukraine,211.50620300034342,-3539.9345917471423,0
153,United Arab Emirates,136.50012157126625,-3906.922927586878,0
154,United Kingdom,2069.819333933394,-54682.796363636386,2
155,Uruguay,12.364272750842622,57.50626566416048,0
156,US,11289.84250764526,-332273.35626911325,4
157,Uzbekistan,51.7029049897471,-472.30064935064934,0
158,Venezuela,6.898431423386052,0.7525062656641239,0
159,Vietnam,3.4540093553211952,-66.05832467981995,0
160,Zambia,2.9775036284470255,-18.26052249637158,0
161,Zimbabwe,0.8035294117647058,-1.5976470588235294,0
162,Dominica,0.19561224489795923,9.048469387755102,0
163,Grenada,0.3771428571428571,4.22448979591837,0
164,Mozambique,2.0397959183673473,-13.280612244897966,0
165,Syria,1.0618367346938775,1.5561224489795933,0
166,Timor-Leste,0.692857142857143,-5.260204081632654,0
