,Country,Slope,Intercept,Label
0,Afghanistan,0.09173417477103507,0.6261291862859273,2
1,Albania,0.06084064491919982,0.6076628328654867,1
2,Algeria,0.09500042179331614,1.7486346018778853,2
3,Andorra,0.06709066655488707,1.2846263452119093,2
4,Angola,0.0,0.6931471805599452,0
5,Antigua and Barbuda,0.01834244203363666,0.6552049209589099,0
6,Argentina,0.10077165307700445,0.2610047087073788,2
7,Armenia,0.0731436356834846,0.9377858027325388,2
8,Australia,0.07018882445506949,0.48305137774510065,2
9,Austria,0.10345529956300847,1.6781684379081607,2
10,Azerbaijan,0.06922300046967704,-0.06841089564077496,2
11,Bahamas,0.041477165773901634,1.188477086778006,1
12,Bahrain,0.03522997142146853,0.5656659367191749,1
13,Bangladesh,0.10825539633743113,0.4027216406820453,2
14,Barbados,0.03441905823863345,0.979072026179264,1
15,Belarus,0.09554825724120303,1.564504277254763,2
16,Belgium,0.13485124674718063,2.643586821818243,3
17,Benin,0.023828589094879706,-0.23352017312982107,1
18,Bhutan,0.0,0.0,0
19,Bolivia,0.07746869869737617,1.66067043991522,2
20,Bosnia and Herzegovina,0.07751942873782662,1.2792222166821017,2
21,Brazil,0.13801850671617805,2.746800579596523,3
22,Brunei,0.0,0.0,0
23,Bulgaria,0.07866602312937958,0.36338390121124187,2
24,Burkina Faso,0.06088454878530861,1.2986703768413443,1
25,Cabo Verde,0.01250358003785285,-0.18210342208975433,0
26,Cambodia,0.0,0.0,0
27,Cameroon,0.08897001401677782,0.8872726100877921,2
28,Canada,0.14789897660465495,0.6632639982580049,3
29,Central African Republic,0.0,0.0,0
30,Chad,0.25670038746854273,0.6015625426000835,4
31,Chile,0.10442660886663813,1.4235118856861275,2
32,China,0.030577083339354827,5.873835119950969,1
33,Colombia,0.10502209525237333,1.6779359610936275,2
34,Congo (Brazzaville),0.033053587869104534,1.1413851050542108,1
35,Congo (Kinshasa),0.05948071236915836,1.1829935128718878,1
36,Costa Rica,0.033507642551176185,0.32660016493672595,1
37,Cote d'Ivoire,0.07991404218635517,0.12079611592180806,2
38,Croatia,0.09221194449437238,0.4325887777623101,2
39,Diamond Princess,0.01835226999285366,1.399086582008974,0
