,Country,Slope,Intercept,Label
0,Afghanistan,0.13577966213267553,-0.5092513764758317,3
1,Albania,0.09307408372281557,2.5891526295390057,2
2,Algeria,0.10810854597947749,2.174308993241149,2
3,Andorra,0.1419484478336258,-0.8144906913176935,3
4,Angola,0.06155194741642637,0.25813385287534496,1
5,Antigua and Barbuda,0.0813086978805013,1.0520874992995088,2
6,Argentina,0.12269815397883121,1.6999357003466375,3
7,Armenia,0.13502010581976148,1.024703226803859,3
8,Australia,0.09632433821875636,-0.2262549461506751,2
9,Austria,0.16437761555733274,1.5189410372004994,4
10,Azerbaijan,0.12547036847276732,0.8139709745793202,3
11,Bahamas,0.09022819089149206,-0.35113749878738654,2
12,Bahrain,0.07744580601395602,3.1892990954449663,2
13,Bangladesh,0.11005299426494806,0.765970698044685,3
14,Barbados,0.0666435614143702,1.9055719032812595,1
15,Belarus,0.13646952319088504,0.44469753737178586,3
16,Belgium,0.15982401570344001,-1.5701577946693517,4
17,Belize,0.11826360292664066,0.6891300147789372,3
18,Benin,0.09943907061205298,0.6026156444163888,2
19,Bhutan,0.0368398570553851,0.3143760544897859,1
20,Bolivia,0.16971398030604662,-0.42473910541042104,4
21,Bosnia and Herzegovina,0.1394713294301756,0.5375506503141776,3
22,Brazil,0.23687237761762234,-0.2001025214672172,4
23,Brunei,0.07364926914278357,2.074761218751412,2
24,Bulgaria,0.09897152739367791,1.6538992891950621,2
25,Burkina Faso,0.09683713535931905,2.4072745377422784,2
26,Cabo Verde,0.12866086463294443,-1.2410830937561388,3
27,Cambodia,0.07855774850452624,-1.2834926358400676,2
28,Cameroon,0.15142990485625019,1.1790340854965242,4
29,Canada,0.14504522954024657,-1.1561189673348462,3
30,Central African Republic,0.04479729094280157,1.3932745780376008,1
31,Chad,0.12206694990226988,0.2074908825833366,3
32,Chile,0.14968652625633405,3.085775725027637,4
33,China,0.056297337894870216,6.799555406389786,1
34,Colombia,0.1532021622849072,0.7067428466036336,4
35,Congo (Brazzaville),0.08271661062553928,0.7072311528689608,2
36,Congo (Kinshasa),0.10322227027322611,0.6372344868328486,2
37,Costa Rica,0.13042373996533924,0.4777588020109378,3
38,Cote d'Ivoire,0.1452246594633693,-0.04979605911685292,3
39,Croatia,0.1313711633635065,1.055268419181251,3
40,Diamond Princess,0.07193212217780354,2.1940901420221026,1
41,Cuba,0.15133952997756625,0.8554226276080499,4
42,Cyprus,0.08993292484745997,1.846860071910481,2
43,Czechia,0.15522944503116942,1.1201956295939208,4
44,Denmark,0.17977043383877478,-0.5072750186324511,4
45,Djibouti,0.14314048485059747,2.145933155894855,3
46,Dominica,0.06445805551098438,0.9177224318526176,1
47,Dominican Republic,0.16330459785592483,1.0074723396040057,4
48,Ecuador,0.16030722613083354,1.37944980233853,4
49,Egypt,0.11300722043298704,0.6058807668207145,3
50,El Salvador,0.12007645531468167,1.5993188550533501,3
51,Equatorial Guinea,0.06697023987517076,0.1750980118252612,1
52,Eritrea,0.1236415358217013,1.2312426670316483,3
53,Estonia,0.11067234045493071,0.727112640952468,3
54,Eswatini,0.026997620922400132,1.705812009418043,0
55,Ethiopia,0.10049410525317017,-0.09075157447053517,2
56,Fiji,0.05992820783957936,1.7199126368011184,1
57,Finland,0.1231633403444466,-1.9593685742609193,3
58,France,0.14814376699789208,-0.10589427562733267,4
59,Gabon,0.16865137248859768,-0.8617942129596066,4
60,Gambia,0.05346924725161376,0.18111299711868134,1
61,Georgia,0.09925779476704961,0.8872417879576102,2
62,Germany,0.15744079788936263,0.27677455231142023,4
63,Ghana,0.11302269801199952,1.1538671137821965,3
64,Grenada,0.048902199431953765,1.6237381679421454,1
65,Greece,0.09746043440256649,2.2451082330237755,2
66,Guatemala,0.06197379045371906,1.7403109231780407,1
67,Guinea,0.15758290968294408,1.3389125869104896,4
68,Guinea-Bissau,0.1366107641064183,0.7837290226510578,3
69,Guyana,0.0487199744860687,1.6966308732504367,1
70,Haiti,0.07951219427368911,-0.8430978127176721,2
71,Holy See,0.0,0.6931471805599453,0
72,Honduras,0.11372537899072761,0.4449104520723357,3
73,Hungary,0.11208447217690061,1.1481679253690236,3
74,Iceland,0.12834500624206974,1.3594315189210149,3
75,India,0.12865005173569294,-0.7389869680348804,3
76,Indonesia,0.11640750904665029,1.497996596279625,3
77,Iran,0.08586029467782157,6.114995187896768,2
78,Iraq,0.08867630943820654,2.8173678983253367,2
79,Ireland,0.20074109746659055,-0.5391192626305692,4
80,Israel,0.15481948555957176,-0.4934530743018266,4
81,Italy,0.11880491757847744,3.892799012424728,3
82,Jamaica,0.07601060380144245,0.17756084179036247,2
83,Japan,0.08383737082844726,0.20091543195529216,2
84,Jordan,0.1264489070178552,0.18373565452321694,3
85,Kazakhstan,0.12863303254940467,2.2522755576327493,3
86,Kenya,0.13327527925833912,0.10603451039285039,3
87,"Korea, South",0.1008427786483001,1.714718038704671,2
88,Kuwait,0.11267195010948805,1.104788802966751,3
89,Kyrgyzstan,0.13701336746173381,1.7438162818437415,3
90,Latvia,0.13378381141509457,-1.4873617586498726,3
91,Lebanon,0.09419050599238395,0.05582739400986236,2
92,Liberia,0.11698600649249508,0.41170938841427684,3
93,Libya,0.08532941584592217,0.3962147025286602,2
94,Liechtenstein,3.447470944977655e-33,4.007333185232472,0
95,Lithuania,0.15638445794186073,-0.9666867324086943,4
96,Luxembourg,0.1276511155833279,2.9080220883414207,3
97,Madagascar,0.09605227216898996,1.8941560445892838,2
98,Malaysia,0.09572513426637742,0.6558087177195704,2
99,Maldives,0.018089395727973107,2.24037546774312,0
100,Mali,0.12228431693637429,1.7279657682791756,3
101,Malta,0.1305548574013846,-0.798481636775497,3
102,Mauritania,0.03925840850033518,0.3983975421367937,1
103,Mauritius,0.11406016431700915,2.5973749328388243,3
104,Mexico,0.1753303495451856,-1.0107739449194932,4
105,Moldova,0.16502630578932956,-0.2610011399465444,4
106,Monaco,0.11207285083439454,-0.48483634116244057,3
107,Mongolia,0.05306773010624536,0.6328431869276814,1
108,Montenegro,0.16799328149442205,0.5612487313455494,4
109,Morocco,0.14633285606755722,0.004727759806580245,3
110,Mozambique,0.10689923614755245,-0.25279758811732145,2
111,Namibia,0.0393835380988205,0.5177504981407273,1
112,Nepal,0.033854523135575666,-0.8685084576267538,1
113,Netherlands,0.07895281987655396,1.8470608491445857,2
114,New Zealand,0.09215052300452403,3.761954918532614,2
115,Nicaragua,0.021861291877596844,1.4924876037196482,0
116,Niger,0.1070636204990676,3.17193715063814,2
117,Nigeria,0.1312883481544435,0.29896776770069167,3
118,North Macedonia,0.14856840764633134,-0.7637320910026872,4
119,Norway,0.06912851427706766,0.24780063650016837,1
